Source,Lat,Lon,Elev,Year,Month,d13Catm,Type,Species,Family,Biome,leaf_N_g_kg,leaf_C_g_kg,leaf_d15N,leaf_d13C,leaf_D13C,soil_d15N,soil_d13C,soil_C_g_kg,soil_N_g_kg,country,soil_type,soil_depth,sitename,sample_time,Notes
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,7.3,-30.8,44.57,1.74,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,6.5,-30.6,46.5,2.03,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,6,-8.07,,,,Forest,,,,,,6.5,-30.4,46.29,1.96,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,8.7,-30.4,41.74,1.76,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,6,-8.07,,,,Forest,,,,,,6,-30.2,44.7,1.8,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,7.7,-30.1,45.11,1.72,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,12,-8.07,,,,Forest,,,,,,6.3,-30,46.78,1.65,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,8.9,-30,42.94,2.01,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,6,-8.07,,,,Forest,,,,,,6.8,-29.8,48.92,2.06,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,7.3,-29.4,48.54,1.83,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,7.3,-29.4,41.68,1.76,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2001,2,-8.07,,,,Forest,,,,,,7,-28.6,46.76,2.03,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,11,-8.11,,,,Forest,,,,,,7.4,-32,47.2,1.81,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,11,-8.11,,,,Forest,,,,,,7.1,-31.2,46.41,2.08,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,11,-8.11,,,,Forest,,,,,,7.1,-30.9,44.4,1.82,Brazil,Litter - Soil chamber 1,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,6,-8.11,,,,Forest,,,,,,6.8,-30.6,49.69,1.62,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,9,-8.11,,,,Forest,,,,,,7,-30.5,45.94,2.21,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,3,-8.11,,,,Forest,,,,,,7.1,-30.5,42.35,2.03,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,6,-8.11,,,,Forest,,,,,,6.3,-30.4,44.73,1.81,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,3,-8.11,,,,Forest,,,,,,5.8,-30.3,47.8,1.44,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,9,-8.11,,,,Forest,,,,,,6.8,-30.1,40.47,1.77,Brazil,Litter soil chamber 5_km 67,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,9,-8.11,,,,Forest,,,,,,7.1,-30,39.97,1.71,Brazil,Litter soil chamber 1_km 83,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,9,-8.11,,,,Forest,,,,,,6.7,-29.9,45.2,2.11,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,6,-8.11,,,,Forest,,,,,,7.4,-29.8,43.65,1.84,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,3,-8.11,,,,Forest,,,,,,6.7,-29.2,49.32,1.99,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2002,9,-8.11,,,,Forest,,,,,,7.5,-28.8,44.54,1.82,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,3,-8.15,,,,Forest,,,,,,7.6,-31.6,48.8,1.96,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,4,-8.15,,,,Forest,,,,,,7.3,-30.3,46.7,2.09,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,4,-8.15,,,,Forest,,,,,,7.2,-30.3,35.58,1.77,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,9,-8.15,,,,Forest,,,,,,6.9,-30.2,45.3,1.8,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,8,-8.15,,,,Forest,,,,,,7.9,-30.2,41.41,1.6,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,10,-8.15,,,,Forest,,,,,,7.2,-29.9,45.3,1.9,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,3,-8.15,,,,Forest,,,,,,7.1,-29.9,42.48,2.21,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,10,-8.15,,,,Forest,,,,,,6.9,-29.9,39.5,1.7,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,2,-8.15,,,,Forest,,,,,,16.1,-29.8,53.11,2.07,Brazil,Litter - Soil chamber 1,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,2,-8.15,,,,Forest,,,,,,18.2,-29.7,46.79,2.03,Brazil,Litter - Soil chamber 3,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,4,-8.15,,,,Forest,,,,,,7.2,-29.7,43.89,2.15,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,2,-8.15,,,,Forest,,,,,,21.2,-29.6,28.21,1.32,Brazil,Litter - Soil chamber 2,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,9,-8.15,,,,Forest,,,,,,7.2,-29.5,46.1,2.3,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,7,-8.15,,,,Forest,,,,,,7.4,-29.5,44.97,1.91,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,3,-8.15,,,,Forest,,,,,,8.4,-29.4,35.14,1.79,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,8,-8.15,,,,Forest,,,,,,8.8,-29.2,46.24,1.92,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,9,-8.15,,,,Forest,,,,,,6.6,-29.1,48.5,1.8,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,10,-8.15,,,,Forest,,,,,,7.1,-29.1,41.7,2,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,7,-8.15,,,,Forest,,,,,,7.2,-29,49.58,1.89,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,7,-8.15,,,,Forest,,,,,,7.2,-29,48.94,2.06,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,3,-8.15,,,,Forest,,,,,,7.8,-29,47.56,1.82,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2003,8,-8.15,,,,Forest,,,,,,5.8,-29,43.82,1.63,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,4,-8.19,,,,Forest,,,,,,7.2,-31.2,45.4,1.8,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,2,-8.19,,,,Forest,,,,,,6.6,-30.9,45.2,1.59,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,2,-8.19,,,,Forest,,,,,,6.1,-30.7,50.5,1.8,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,3,-8.19,,,,Forest,,,,,,6.8,-30.7,44.55,2.12,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,3,-8.19,,,,Forest,,,,,,7.5,-30.6,41.41,2.1,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,4,-8.19,,,,Forest,,,,,,7.9,-30.4,43.8,1.9,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,2,-8.19,,,,Forest,,,,,,7.8,-30.2,39.1,2.02,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,3,-8.19,,,,Forest,,,,,,6.8,-29.8,44.32,2.41,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-3.02,-54.95,,2004,4,-8.19,,,,Forest,,,,,,6.7,-29.8,42.4,1.8,Brazil,Litter - Soil chamber ,,,,
Ehleringer et al. 2010,-10.08,-61.93,,2000,9,-8.06,,,,Forest,,,,,,6.8,-30.6,45.4,1.53,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-10.08,-61.93,,2000,9,-8.06,,,,Forest,,,,,,5.5,-29.6,52.66,1.51,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-10.08,-61.93,,2000,9,-8.06,,,,Forest,,,,,,4.7,-29.2,46.66,1.43,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-10.08,-61.93,,2000,2,-8.06,,,,Forest,,,,,,4.8,-28.7,38.65,1.95,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-10.08,-61.93,,2000,2,-8.06,,,,Forest,,,,,,5,-28.6,42.01,2.24,Brazil,Random sampling,,,,
Ehleringer et al. 2010,-10.08,-61.93,,2000,2,-8.06,,,,Forest,,,,,,4.7,-28.4,31.3,1.81,Brazil,Random sampling,,,,
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-25.6,4.43,,California USA,,,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-25.3,4.67,,California USA,,,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.6,3.3,,California USA,,,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.2,3.57,,California USA,,,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-26.5,9.73,,California USA,,,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.8,5.13,,California USA,,,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.7,6.67,,California USA,,,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-28.1,46.4,,California USA,,0-1,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-25.3,17.2,,California USA,,0-1,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-25.6,62.93,,California USA,,0-2,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-27.3,38.57,,California USA,,0-7,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-25.1,2.8,,California USA,,20-35,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.8,2.73,,California USA,,20-35,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.6,3.2,,California USA,,20-35,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-23.7,2.73,,California USA,,20-35,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.7,2.1,,California USA,,35-50,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.5,2.2,,California USA,,35-50,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.2,2.8,,California USA,,35-50,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.2,2.3,,California USA,,35-50,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.2,2.4,,California USA,,50-65,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.2,2.1,,California USA,,50-65,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.1,2.1,,California USA,,50-65,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-23.7,2.3,,California USA,,50-65,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24,2.3,,California USA,,65-80,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24,2,,California USA,,65-80,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-23.8,2,,California USA,,65-80,Pine,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-23.7,2,,California USA,,65-80,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.7,3.2,,California USA,,80-100,Ceanothus,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.7,2.1,,California USA,,80-100,Chamise,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.6,4.3,,California USA,,80-100,Oak,,Wang et al. (2018)
Feng et al. (1999),34.48,-118.08,,,,,,,,,,,,,,,-24.5,2,,California USA,,80-100,Pine,,Wang et al. (2018)
Garten & Hanson (2006),35.96,-84.28,,,,,,,,,,,,,,,-26.5,22.8,,"Tennessee and North Carolina, USA",,10,,,Wang et al. (2018)
Garten & Hanson (2006),35.61,-83.44,,,,,,,,,,,,,,,-25.9,51.5,,"Tennessee and North Carolina, USA",,10,,,Wang et al. (2018)
Garten & Hanson (2006),35.58,-83.39,,,,,,,,,,,,,,,-26.9,8,,"Tennessee and North Carolina, USA",,10,,,Wang et al. (2018)
Garten & Hanson (2006),35.96,-84.28,,,,,,,,,,,,,,,-25.7,7.6,,"Tennessee and North Carolina, USA",,20,,,Wang et al. (2018)
Garten & Hanson (2006),35.61,-83.44,,,,,,,,,,,,,,,-24.8,19.1,,"Tennessee and North Carolina, USA",,20,,,Wang et al. (2018)
Garten & Hanson (2006),35.58,-83.39,,,,,,,,,,,,,,,-26,19.2,,"Tennessee and North Carolina, USA",,20,,,Wang et al. (2018)
Garten & Hanson (2006),35.96,-84.28,,,,,,,,,,,,,,,-24.4,3.7,,"Tennessee and North Carolina, USA",,30,,,Wang et al. (2018)
Garten & Hanson (2006),35.61,-83.44,,,,,,,,,,,,,,,-23.9,9.5,,"Tennessee and North Carolina, USA",,30,,,Wang et al. (2018)
Garten & Hanson (2006),35.58,-83.39,,,,,,,,,,,,,,,-26.1,13.7,,"Tennessee and North Carolina, USA",,30,,,Wang et al. (2018)
Garten & Hanson (2006),35.96,-84.28,,,,,,,,,,,,,,,-28.5,273,,"Tennessee and North Carolina, USA",,organic,WB,,Wang et al. (2018)
Garten & Hanson (2006),35.68,-83.64,,,,,,,,,,,,,,,-28.5,386,,"Tennessee and North Carolina, USA",,organic,MC,,Wang et al. (2018)
Garten & Hanson (2006),35.61,-83.44,,,,,,,,,,,,,,,-26.9,379,,"Tennessee and North Carolina, USA",,organic,NG,,Wang et al. (2018)
Garten & Hanson (2006),35.58,-83.39,,,,,,,,,,,,,,,-27.6,47,,"Tennessee and North Carolina, USA",,organic,TD,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.64,,,,,,,,,,,,,,,-27.5,36.6,,"Eastern Tennessee, USA",,10,,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.64,,,,,,,,,,,,,,,-25.7,1,,"Eastern Tennessee, USA",,20,,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.64,,,,,,,,,,,,,,,-25.4,5.7,,"Eastern Tennessee, USA",,30,,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-25.1,9.23,,"Eastern Tennessee, USA",,,2WB,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-24.2,8.77,,"Eastern Tennessee, USA",,,1LP,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-26.5,24.4,,"Eastern Tennessee, USA",,,4MH,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-25.1,42.2,,"Eastern Tennessee, USA",,,3SB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-25.2,24.9,,"Eastern Tennessee, USA",,,5BB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-25,19.4,,"Eastern Tennessee, USA",,,6SP,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-26.3,28.4,,"Eastern Tennessee, USA",,0-5,2WB,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-25.7,19.6,,"Eastern Tennessee, USA",,0-5,1LP,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-27.2,95.8,,"Eastern Tennessee, USA",,0-5,4MH,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-25.4,73.4,,"Eastern Tennessee, USA",,0-5,3SB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-26.1,88.8,,"Eastern Tennessee, USA",,0-5,5BB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-25.6,95.8,,"Eastern Tennessee, USA",,0-5,6SP,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-24.2,3.35,,"Eastern Tennessee, USA",,20-30,2WB,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-23.1,3.46,,"Eastern Tennessee, USA",,20-30,1LP,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-25.6,8.7,,"Eastern Tennessee, USA",,20-30,4MH,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-24.5,24,,"Eastern Tennessee, USA",,20-30,3SB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-24.7,15.9,,"Eastern Tennessee, USA",,20-30,5BB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-24.7,12.2,,"Eastern Tennessee, USA",,20-30,6SP,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-23.5,2.68,,"Eastern Tennessee, USA",,30-40,2WB,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-23.1,2.34,,"Eastern Tennessee, USA",,30-40,1LP,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-24.6,16.6,,"Eastern Tennessee, USA",,30-40,3SB,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-24.6,4.37,,"Eastern Tennessee, USA",,30-40,4MH,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-24.5,16.2,,"Eastern Tennessee, USA",,30-40,5BB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-23.5,5.2,,"Eastern Tennessee, USA",,30-40,6SP,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-29.3,489,1.3,"Eastern Tennessee, USA",,Litter/leaf,1LP,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-29,487,1.3,"Eastern Tennessee, USA",,Litter/leaf,2WB,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-28.4,55,5,"Eastern Tennessee, USA",,Litter/leaf,3SB,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-28,486,4,"Eastern Tennessee, USA",,Litter/leaf,4MH,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-28,53,4.5,"Eastern Tennessee, USA",,Litter/leaf,6SP,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-27.7,496,4.5,"Eastern Tennessee, USA",,Litter/leaf,5BB,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-28.6,293,,"Eastern Tennessee, USA",,O layer,1LP,,Wang et al. (2018)
Garten et al. (2000),35.9,-84.33,,,,,,,,,,,,,,,-28,26,,"Eastern Tennessee, USA",,O layer,2WB,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-27.7,342,,"Eastern Tennessee, USA",,O layer,4MH,,Wang et al. (2018)
Garten et al. (2000),35.68,-83.47,,,,,,,,,,,,,,,-27.1,239,,"Eastern Tennessee, USA",,O layer,3SB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-26.7,319,,"Eastern Tennessee, USA",,O layer,5BB,,Wang et al. (2018)
Garten et al. (2000),35.6,-83.47,,,,,,,,,,,,,,,-26.3,36,,"Eastern Tennessee, USA",,O layer,6SP,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-26.3,27.69,,"Botucatu, Brazil",,4.64602,BI,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-26.1,22.34,,"Botucatu, Brazil",,6.19469,BII,,Wang et al. (2018)
Gouveia et al. (2002),-15.27,-59.22,,,,,,,,,,,,,,,-27.2,21.94,,"Sao Paulo, Brazil",,6.96903,PL,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-26,14.43,,Brazil,,24.7788,BII,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-25.4,16.93,,Brazil,,26.3274,BI,,Wang et al. (2018)
Gouveia et al. (2002),-15.27,-59.22,,,,,,,,,,,,,,,-27,19.74,,Brazil,,27.8761,PL,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-25.9,11.23,,Brazil,,45.6858,BII,,Wang et al. (2018)
Gouveia et al. (2002),-15.27,-59.22,,,,,,,,,,,,,,,-26.9,18,,Brazil,,47.2345,PL,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-25.4,18.18,,Brazil,,51.8805,BI,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-25.1,13.23,,Brazil,,54.9779,BII,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-24.7,,,Brazil,,65.8186,BII,,Wang et al. (2018)
Gouveia et al. (2002),-15.27,-59.22,,,,,,,,,,,,,,,-26.8,14.52,,Brazil,,67.3673,PL,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-25.5,2.36,,Brazil,,72.0133,BI,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-24,8.45,,Brazil,,85.177,BII,,Wang et al. (2018)
Gouveia et al. (2002),-15.27,-59.22,,,,,,,,,,,,,,,-26.5,9.87,,Brazil,,89.0487,PL,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-23.8,9.9,,Brazil,,94.469,BII,,Wang et al. (2018)
Gouveia et al. (2002),-23,-48,,,,,,,,,,,,,,,-25.8,2.24,,Brazil,,95.2434,BI,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-28.3,138.5,,"Onteario, Canada",,2.62366,forest,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-27.3,94.5,,"Onteario, Canada",,7.76995,forest,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-26.7,6.5,,"Onteario, Canada",,12.9008,forest,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-26.7,12.4,,"Onteario, Canada",,23.116,forest,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-26.6,4.2,,"Onteario, Canada",,37.9053,forest,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-26.4,2.4,,"Onteario, Canada",,52.968,forest,,Wang et al. (2018)
Gregorich et al. (1995),45.05,-75.35,,,,,,,,,,,,,,,-26.2,2.2,,"Onteario, Canada",,67.7601,forest,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-29.6,62.88,,"Sumatra, Indonesia",,1.8,Harapan,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-29.2,7.54,,"Sumatra, Indonesia",,2,Bukit ,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-27.4,19.56,,"Sumatra, Indonesia",,10,,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-27.1,7.32,,"Sumatra, Indonesia",,19.9,,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-26.7,13.29,,"Sumatra, Indonesia",,20,,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-26.6,4.39,,"Sumatra, Indonesia",,34.8,,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-26.5,7.4,,"Sumatra, Indonesia",,55,,,Wang et al. (2018)
Guillaume et al. (2015),3.59,-98.67,,,,,,,,,,,,,,,-26.4,4.32,,"Sumatra, Indonesia",,55,,,Wang et al. (2018)
Jin et al. (2014),44.4,107.65,,,,,,,,,,,,,,,-22.1,1.98,,"Gansu, China",,10.059,grass,,Wang et al. (2018)
Jin et al. (2014),44.4,107.65,,,,,,,,,,,,,,,-21.3,0.89,,"Gansu, China",,19.7777,grass,,Wang et al. (2018)
Jin et al. (2014),44.4,107.65,,,,,,,,,,,,,,,-21.7,0.82,,"Gansu, China",,30.0285,grass,,Wang et al. (2018)
Jin et al. (2014),44.4,107.65,,,,,,,,,,,,,,,-21.1,0.72,,"Gansu, China",,40.0825,grass,,Wang et al. (2018)
Jin et al. (2014),44.4,107.65,,,,,,,,,,,,,,,-21.2,0.66,,"Gansu, China",,50.1295,grass,,Wang et al. (2018)
